episode_idx,task_family,no_workflow_id,mem_workflow_id,no_trace_file,mem_trace_file,no_agent_sequence,mem_agent_sequence,no_retrieve_memory_events,mem_retrieve_memory_events,no_selected_memories,mem_selected_memories,no_memory_refs,mem_memory_refs,no_support_only_count,mem_support_only_count,no_changed_agent_selection_count,mem_changed_agent_selection_count,no_changed_ordering_count,mem_changed_ordering_count,no_changed_recovery_count,mem_changed_recovery_count,no_decisions_full,mem_decisions_full,no_decisions_effective,mem_decisions_effective,decision_diff_full_count,decision_diff_full_summary,decision_diff_effective_count,decision_diff_effective_summary,memory_changed_scheduling_decisions,no_agent_call_count,mem_agent_call_count,no_retry_count,mem_retry_count,no_replan_count,mem_replan_count,no_total_cost,mem_total_cost,no_avg_cost,mem_avg_cost,no_total_latency_sec,mem_total_latency_sec,no_avg_latency_sec,mem_avg_latency_sec
10,evidence_based_writing,e839ced8-fb0d-4790-98f2-1718f5127bdf,f00233c8-9665-42e8-80ec-89c99bb101b4,experiments\stabilization_sprint_20260508\traces\mas_no_memory\e839ced8-fb0d-4790-98f2-1718f5127bdf.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\f00233c8-9665-42e8-80ec-89c99bb101b4.jsonl,planner|researcher|writer|writer|writer,planner|researcher|writer|writer|writer,0,0,,,,,0,0,0,0,0,0,0,0,call_agent:planner|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:writer|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:writer|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:writer|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:writer|finalize,0,,0,,False,5,5,1,1,0,0,0.0,0.0,0.0,0.0,1.229,1.229,0.2458,0.2458
11,data_analysis,e42f54cb-318d-4a77-9d5f-7ae1ba1bf35b,4ba60770-ad40-402a-9d37-99daaafe62bc,experiments\stabilization_sprint_20260508\traces\mas_no_memory\e42f54cb-318d-4a77-9d5f-7ae1ba1bf35b.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\4ba60770-ad40-402a-9d37-99daaafe62bc.jsonl,planner|researcher|writer|writer|critic,planner|researcher|researcher|writer|critic,0,7,,8f391f64-6e38-46ef-8b3e-b9a83b2fb01b,,8f391f64-6e38-46ef-8b3e-b9a83b2fb01b,0,7,0,0,0,0,0,0,call_agent:planner|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,retrieve_memory:1|call_agent:planner|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|retry|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:writer|retrieve_memory:1|call_agent:critic|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,call_agent:planner|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,14,0:call_agent:planner != retrieve_memory:1; 1:call_agent:researcher != call_agent:planner; 2:call_agent:writer != retrieve_memory:1; 3:retry != call_agent:researcher; 4:call_agent:writer != retrieve_memory:1; 5:call_agent:critic != retry; 6:finalize != retrieve_memory:1; 7:<none> != call_agent:researcher; ...,2,2:call_agent:writer != retry; 3:retry != call_agent:researcher,True,5,5,1,1,0,0,0.0,0.0,0.0,0.0,1.159,1.184,0.2318,0.2368
12,form_submission,e4e4b5bf-d27b-422c-b0fe-16c857d20f69,a00f6c9b-efee-460c-9eca-7c1e67060168,experiments\stabilization_sprint_20260508\traces\mas_no_memory\e4e4b5bf-d27b-422c-b0fe-16c857d20f69.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\a00f6c9b-efee-460c-9eca-7c1e67060168.jsonl,planner|researcher|writer|writer,critic|researcher|researcher|critic|writer,0,7,,9e18ec9c-354a-436c-aca1-8d9f5b5c252b,,9e18ec9c-354a-436c-aca1-8d9f5b5c252b,0,6,0,1,0,0,0,0,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|finalize,retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|retry|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:writer|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|finalize,call_agent:critic|call_agent:researcher|retry|call_agent:researcher|call_agent:critic|call_agent:writer|finalize,14,0:call_agent:planner != retrieve_memory:1; 1:call_agent:researcher != call_agent:critic; 2:call_agent:writer != retrieve_memory:1; 3:call_agent:writer != call_agent:researcher; 4:finalize != retrieve_memory:1; 5:<none> != retry; 6:<none> != retrieve_memory:1; 7:<none> != call_agent:researcher; ...,6,0:call_agent:planner != call_agent:critic; 2:call_agent:writer != retry; 3:call_agent:writer != call_agent:researcher; 4:finalize != call_agent:critic; 5:<none> != call_agent:writer; 6:<none> != finalize,True,4,5,0,1,0,0,0.0,0.0,0.0,0.0,0.666,0.971,0.1665,0.1942
13,multi_source_conflict,bec06b69-9c57-4290-905c-7a368e56256d,cd8b725b-20d6-405d-8861-6190e826019a,experiments\stabilization_sprint_20260508\traces\mas_no_memory\bec06b69-9c57-4290-905c-7a368e56256d.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\cd8b725b-20d6-405d-8861-6190e826019a.jsonl,planner|planner|planner|researcher|writer|writer|writer|writer,critic|researcher|critic|critic|writer,0,7,,cb45b842-b584-4397-9231-149cda45883f,,cb45b842-b584-4397-9231-149cda45883f,0,6,0,1,0,0,0,0,call_agent:planner|retry|call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|retry|call_agent:writer|finalize,retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:critic|retrieve_memory:1|retry|retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:writer|retrieve_memory:1|finalize,call_agent:planner|retry|call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|retry|call_agent:writer|finalize,call_agent:critic|call_agent:researcher|call_agent:critic|retry|call_agent:critic|call_agent:writer|finalize,13,0:call_agent:planner != retrieve_memory:1; 1:retry != call_agent:critic; 2:call_agent:planner != retrieve_memory:1; 3:retry != call_agent:researcher; 4:call_agent:planner != retrieve_memory:1; 5:call_agent:researcher != call_agent:critic; 6:call_agent:writer != retrieve_memory:1; 7:call_agent:writer != retry; ...,12,0:call_agent:planner != call_agent:critic; 1:retry != call_agent:researcher; 2:call_agent:planner != call_agent:critic; 4:call_agent:planner != call_agent:critic; 5:call_agent:researcher != call_agent:writer; 6:call_agent:writer != finalize; 7:call_agent:writer != <none>; 8:retry != <none>; ...,True,8,5,4,1,0,0,0.0,0.0,0.0,0.0,2.091,0.928,0.261375,0.1856
14,code_review,ca3fa34a-3c6f-4700-9792-ae3f77de05be,90194b11-600f-464f-b938-9ad169e2d1d8,experiments\stabilization_sprint_20260508\traces\mas_no_memory\ca3fa34a-3c6f-4700-9792-ae3f77de05be.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\90194b11-600f-464f-b938-9ad169e2d1d8.jsonl,planner|planner|planner|recovery|researcher|researcher|researcher|writer|critic,planner|researcher|writer|critic,0,5,,873fa517-edd5-42da-bbfe-dd12abff7404,,873fa517-edd5-42da-bbfe-dd12abff7404,0,5,0,0,0,0,0,0,call_agent:planner|retry|call_agent:planner|retry|call_agent:planner|call_recovery_agent:recovery|call_agent:researcher|retry|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,retrieve_memory:1|call_agent:planner|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:writer|retrieve_memory:1|call_agent:critic|retrieve_memory:1|finalize,call_agent:planner|retry|call_agent:planner|retry|call_agent:planner|call_recovery_agent:recovery|call_agent:researcher|retry|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,14,0:call_agent:planner != retrieve_memory:1; 1:retry != call_agent:planner; 2:call_agent:planner != retrieve_memory:1; 3:retry != call_agent:researcher; 4:call_agent:planner != retrieve_memory:1; 5:call_recovery_agent:recovery != call_agent:writer; 6:call_agent:researcher != retrieve_memory:1; 7:retry != call_agent:critic; ...,13,1:retry != call_agent:researcher; 2:call_agent:planner != call_agent:writer; 3:retry != call_agent:critic; 4:call_agent:planner != finalize; 5:call_recovery_agent:recovery != <none>; 6:call_agent:researcher != <none>; 7:retry != <none>; 8:call_agent:researcher != <none>; ...,True,9,4,4,0,0,0,0.0,0.0,0.0,0.0,2.104,0.658,0.233778,0.1645
15,debugging,c7e64b1c-89e3-4a6e-8a94-6f6f6acba3f7,b4ac60d9-6820-4357-b6c7-6c22856247bb,experiments\stabilization_sprint_20260508\traces\mas_no_memory\c7e64b1c-89e3-4a6e-8a94-6f6f6acba3f7.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\b4ac60d9-6820-4357-b6c7-6c22856247bb.jsonl,planner|researcher|writer|critic,planner|researcher|writer|critic,0,5,,872eedfe-e03c-4825-840f-3f0fbeeffde0,,872eedfe-e03c-4825-840f-3f0fbeeffde0,0,0,0,0,0,0,0,0,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,retrieve_memory:1|call_agent:planner|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:writer|retrieve_memory:1|call_agent:critic|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,10,0:call_agent:planner != retrieve_memory:1; 1:call_agent:researcher != call_agent:planner; 2:call_agent:writer != retrieve_memory:1; 3:call_agent:critic != call_agent:researcher; 4:finalize != retrieve_memory:1; 5:<none> != call_agent:writer; 6:<none> != retrieve_memory:1; 7:<none> != call_agent:critic; ...,0,,False,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.736,0.736,0.184,0.184
16,form_submission,e30a139f-f670-40cb-8fc9-57cdc7f578f1,fec9594b-1a52-48c3-affc-14e28d6a3a33,experiments\stabilization_sprint_20260508\traces\mas_no_memory\e30a139f-f670-40cb-8fc9-57cdc7f578f1.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\fec9594b-1a52-48c3-affc-14e28d6a3a33.jsonl,planner|researcher|researcher|writer|critic,critic|critic|researcher|researcher|critic|writer,0,9,,66f04189-32a3-4e25-bb4b-53c932f60c81,,66f04189-32a3-4e25-bb4b-53c932f60c81,0,7,0,2,0,0,0,0,call_agent:planner|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,retrieve_memory:1|call_agent:critic|retrieve_memory:1|retry|retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|retry|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:writer|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,call_agent:critic|retry|call_agent:critic|call_agent:researcher|retry|call_agent:researcher|call_agent:critic|call_agent:writer|finalize,17,0:call_agent:planner != retrieve_memory:1; 1:call_agent:researcher != call_agent:critic; 2:retry != retrieve_memory:1; 3:call_agent:researcher != retry; 4:call_agent:writer != retrieve_memory:1; 6:finalize != retrieve_memory:1; 7:<none> != call_agent:researcher; 8:<none> != retrieve_memory:1; ...,8,0:call_agent:planner != call_agent:critic; 1:call_agent:researcher != retry; 2:retry != call_agent:critic; 4:call_agent:writer != retry; 5:call_agent:critic != call_agent:researcher; 6:finalize != call_agent:critic; 7:<none> != call_agent:writer; 8:<none> != finalize,True,5,6,1,2,0,0,0.0,0.0,0.0,0.0,0.905,1.622,0.181,0.270333
17,evidence_based_writing,feac7ce0-5788-4b80-a23d-fa3285a9be7e,f2b7f526-e5ca-4d26-bc72-88521bb09ad9,experiments\stabilization_sprint_20260508\traces\mas_no_memory\feac7ce0-5788-4b80-a23d-fa3285a9be7e.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\f2b7f526-e5ca-4d26-bc72-88521bb09ad9.jsonl,writer|researcher|researcher|researcher|recovery|researcher|researcher,planner|planner|researcher|writer|writer|critic,0,9,,947eab93-0cd6-4b31-b956-8f2f83366a32,,947eab93-0cd6-4b31-b956-8f2f83366a32,0,0,0,0,0,0,0,0,call_agent:writer|call_agent:researcher|retry|call_agent:researcher|retry|call_agent:researcher|call_recovery_agent:recovery|call_agent:researcher|call_agent:researcher|finalize,retrieve_memory:1|call_agent:planner|retrieve_memory:1|retry|retrieve_memory:1|call_agent:planner|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:writer|retrieve_memory:1|retry|retrieve_memory:1|call_agent:writer|retrieve_memory:1|call_agent:critic|retrieve_memory:1|finalize,call_agent:writer|call_agent:researcher|retry|call_agent:researcher|retry|call_agent:researcher|call_recovery_agent:recovery|call_agent:researcher|call_agent:researcher|finalize,call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,17,0:call_agent:writer != retrieve_memory:1; 1:call_agent:researcher != call_agent:planner; 2:retry != retrieve_memory:1; 3:call_agent:researcher != retry; 4:retry != retrieve_memory:1; 5:call_agent:researcher != call_agent:planner; 6:call_recovery_agent:recovery != retrieve_memory:1; 8:call_agent:researcher != retrieve_memory:1; ...,9,0:call_agent:writer != call_agent:planner; 1:call_agent:researcher != retry; 2:retry != call_agent:planner; 4:retry != call_agent:writer; 5:call_agent:researcher != retry; 6:call_recovery_agent:recovery != call_agent:writer; 7:call_agent:researcher != call_agent:critic; 8:call_agent:researcher != finalize; ...,True,7,6,2,2,0,0,0.0,0.0,0.0,0.0,1.637,1.407,0.233857,0.2345
18,content_creation,f03658d2-9f90-47b9-8d26-5ab88581416c,db945e8b-489c-44f5-8b1d-894729a46a4e,experiments\stabilization_sprint_20260508\traces\mas_no_memory\f03658d2-9f90-47b9-8d26-5ab88581416c.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\db945e8b-489c-44f5-8b1d-894729a46a4e.jsonl,planner|researcher|writer|writer|writer,planner|researcher|writer|critic,0,0,,,,,0,0,0,0,0,0,0,0,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,4,3:call_agent:writer != call_agent:critic; 4:retry != finalize; 5:call_agent:writer != <none>; 6:finalize != <none>,4,3:call_agent:writer != call_agent:critic; 4:retry != finalize; 5:call_agent:writer != <none>; 6:finalize != <none>,True,5,4,1,0,0,0,0.0,0.0,0.0,0.0,0.721,0.807,0.1442,0.20175
19,debugging,ffc6bbcf-b7db-462b-911f-66c78684c353,f0a96732-5898-4422-93c1-ac730fc470c1,experiments\stabilization_sprint_20260508\traces\mas_no_memory\ffc6bbcf-b7db-462b-911f-66c78684c353.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\f0a96732-5898-4422-93c1-ac730fc470c1.jsonl,writer|writer|writer|writer|writer|critic|critic|writer,planner|researcher|writer|critic,0,5,,947eab93-0cd6-4b31-b956-8f2f83366a32,,947eab93-0cd6-4b31-b956-8f2f83366a32,0,0,0,0,0,0,0,0,call_agent:writer|retry|call_agent:writer|call_agent:writer|retry|call_agent:writer|retry|call_agent:writer|call_agent:critic|retry|call_agent:critic|call_agent:writer|finalize,retrieve_memory:1|call_agent:planner|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:writer|retrieve_memory:1|call_agent:critic|retrieve_memory:1|finalize,call_agent:writer|retry|call_agent:writer|call_agent:writer|retry|call_agent:writer|retry|call_agent:writer|call_agent:critic|retry|call_agent:critic|call_agent:writer|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,12,0:call_agent:writer != retrieve_memory:1; 1:retry != call_agent:planner; 2:call_agent:writer != retrieve_memory:1; 3:call_agent:writer != call_agent:researcher; 4:retry != retrieve_memory:1; 6:retry != retrieve_memory:1; 7:call_agent:writer != call_agent:critic; 8:call_agent:critic != retrieve_memory:1; ...,12,0:call_agent:writer != call_agent:planner; 1:retry != call_agent:researcher; 3:call_agent:writer != call_agent:critic; 4:retry != finalize; 5:call_agent:writer != <none>; 6:retry != <none>; 7:call_agent:writer != <none>; 8:call_agent:critic != <none>; ...,True,8,4,4,0,0,0,0.0,0.0,0.0,0.0,1.976,0.901,0.247,0.22525
20,form_submission,f94e7f61-481a-4185-9eda-60ad496dfb81,aae8fa65-8091-4624-ab74-d3c90c4cf7fe,experiments\stabilization_sprint_20260508\traces\mas_no_memory\f94e7f61-481a-4185-9eda-60ad496dfb81.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\aae8fa65-8091-4624-ab74-d3c90c4cf7fe.jsonl,planner|researcher|researcher|writer|writer|critic,critic|critic|critic|researcher|critic|writer|writer,0,11,,66f04189-32a3-4e25-bb4b-53c932f60c81,,66f04189-32a3-4e25-bb4b-53c932f60c81,0,8,0,3,0,0,0,0,call_agent:planner|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,retrieve_memory:1|call_agent:critic|retrieve_memory:1|retry|retrieve_memory:1|call_agent:critic|retrieve_memory:1|retry|retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:writer|retrieve_memory:1|retry|retrieve_memory:1|call_agent:writer|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,call_agent:critic|retry|call_agent:critic|retry|call_agent:critic|call_agent:researcher|call_agent:critic|call_agent:writer|retry|call_agent:writer|finalize,22,0:call_agent:planner != retrieve_memory:1; 1:call_agent:researcher != call_agent:critic; 2:retry != retrieve_memory:1; 3:call_agent:researcher != retry; 4:call_agent:writer != retrieve_memory:1; 5:retry != call_agent:critic; 6:call_agent:writer != retrieve_memory:1; 7:call_agent:critic != retry; ...,11,0:call_agent:planner != call_agent:critic; 1:call_agent:researcher != retry; 2:retry != call_agent:critic; 3:call_agent:researcher != retry; 4:call_agent:writer != call_agent:critic; 5:retry != call_agent:researcher; 6:call_agent:writer != call_agent:critic; 7:call_agent:critic != call_agent:writer; ...,True,6,7,2,3,0,0,0.0,0.0,0.0,0.0,1.23,1.608,0.205,0.229714
21,content_creation,ba65b91c-6cdb-4828-8a28-4e6c7f894bc6,e5cf1f0e-46b5-4690-be79-9cca2e6ead4c,experiments\stabilization_sprint_20260508\traces\mas_no_memory\ba65b91c-6cdb-4828-8a28-4e6c7f894bc6.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\e5cf1f0e-46b5-4690-be79-9cca2e6ead4c.jsonl,planner|researcher|researcher|writer|writer|critic,planner|researcher|writer|critic,0,5,,185cc9ef-55d0-4d0c-926e-5a3ed7d2f593,,185cc9ef-55d0-4d0c-926e-5a3ed7d2f593,0,5,0,0,0,0,0,0,call_agent:planner|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,retrieve_memory:1|call_agent:planner|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:writer|retrieve_memory:1|call_agent:critic|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|retry|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,8,0:call_agent:planner != retrieve_memory:1; 1:call_agent:researcher != call_agent:planner; 2:retry != retrieve_memory:1; 4:call_agent:writer != retrieve_memory:1; 5:retry != call_agent:writer; 6:call_agent:writer != retrieve_memory:1; 8:finalize != retrieve_memory:1; 9:<none> != finalize,7,2:retry != call_agent:writer; 3:call_agent:researcher != call_agent:critic; 4:call_agent:writer != finalize; 5:retry != <none>; 6:call_agent:writer != <none>; 7:call_agent:critic != <none>; 8:finalize != <none>,True,6,4,2,0,0,0,0.0,0.0,0.0,0.0,1.43,0.798,0.238333,0.1995
22,code_review,d195d2cb-2a64-4cf8-9064-8cefb3aced1e,d81a1dba-b665-4f57-944d-4dc58266bafe,experiments\stabilization_sprint_20260508\traces\mas_no_memory\d195d2cb-2a64-4cf8-9064-8cefb3aced1e.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\d81a1dba-b665-4f57-944d-4dc58266bafe.jsonl,planner|researcher|writer|writer|writer,planner|planner|researcher|writer|writer|critic,0,9,,725a3f81-1a5b-47fb-b00f-4b958aace7b8,,725a3f81-1a5b-47fb-b00f-4b958aace7b8,0,9,0,0,0,0,0,0,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|finalize,retrieve_memory:1|call_agent:planner|retrieve_memory:1|retry|retrieve_memory:1|call_agent:planner|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:writer|retrieve_memory:1|retry|retrieve_memory:1|call_agent:writer|retrieve_memory:1|call_agent:critic|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|finalize,call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|retry|call_agent:writer|call_agent:critic|finalize,18,0:call_agent:planner != retrieve_memory:1; 1:call_agent:researcher != call_agent:planner; 2:call_agent:writer != retrieve_memory:1; 3:call_agent:writer != retry; 4:retry != retrieve_memory:1; 5:call_agent:writer != call_agent:planner; 6:finalize != retrieve_memory:1; 7:<none> != call_agent:researcher; ...,8,1:call_agent:researcher != retry; 2:call_agent:writer != call_agent:planner; 3:call_agent:writer != call_agent:researcher; 4:retry != call_agent:writer; 5:call_agent:writer != retry; 6:finalize != call_agent:writer; 7:<none> != call_agent:critic; 8:<none> != finalize,True,5,6,1,2,0,0,0.0,0.0,0.0,0.0,0.782,1.089,0.1564,0.1815
23,evidence_based_writing,fa418db3-e7ee-46c8-a9c0-3bbd35ba46ec,f97acc1f-8c06-4a11-a2d6-670af3f8665e,experiments\stabilization_sprint_20260508\traces\mas_no_memory\fa418db3-e7ee-46c8-a9c0-3bbd35ba46ec.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\f97acc1f-8c06-4a11-a2d6-670af3f8665e.jsonl,planner|planner|researcher|writer|critic,planner|planner|researcher|writer|critic,0,7,,872eedfe-e03c-4825-840f-3f0fbeeffde0,,872eedfe-e03c-4825-840f-3f0fbeeffde0,0,0,0,0,0,0,0,0,call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,retrieve_memory:1|call_agent:planner|retrieve_memory:1|retry|retrieve_memory:1|call_agent:planner|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:writer|retrieve_memory:1|call_agent:critic|retrieve_memory:1|finalize,call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:critic|finalize,14,0:call_agent:planner != retrieve_memory:1; 1:retry != call_agent:planner; 2:call_agent:planner != retrieve_memory:1; 3:call_agent:researcher != retry; 4:call_agent:writer != retrieve_memory:1; 5:call_agent:critic != call_agent:planner; 6:finalize != retrieve_memory:1; 7:<none> != call_agent:researcher; ...,0,,False,5,5,1,1,0,0,0.0,0.0,0.0,0.0,1.22,1.22,0.244,0.244
24,multi_source_conflict,f5c81af6-872c-4ac2-a057-258170a166e3,d7e22c5d-7ee0-4a36-948b-8a7db3243bad,experiments\stabilization_sprint_20260508\traces\mas_no_memory\f5c81af6-872c-4ac2-a057-258170a166e3.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\d7e22c5d-7ee0-4a36-948b-8a7db3243bad.jsonl,planner|researcher|writer|writer|writer,critic|critic|researcher|critic|critic|writer,0,9,,cb45b842-b584-4397-9231-149cda45883f,,cb45b842-b584-4397-9231-149cda45883f,0,7,0,2,0,0,0,0,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|finalize,retrieve_memory:1|call_agent:critic|retrieve_memory:1|retry|retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:researcher|retrieve_memory:1|call_agent:critic|retrieve_memory:1|retry|retrieve_memory:1|call_agent:critic|retrieve_memory:1|call_agent:writer|retrieve_memory:1|finalize,call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|finalize,call_agent:critic|retry|call_agent:critic|call_agent:researcher|call_agent:critic|retry|call_agent:critic|call_agent:writer|finalize,18,0:call_agent:planner != retrieve_memory:1; 1:call_agent:researcher != call_agent:critic; 2:call_agent:writer != retrieve_memory:1; 3:call_agent:writer != retry; 4:retry != retrieve_memory:1; 5:call_agent:writer != call_agent:critic; 6:finalize != retrieve_memory:1; 7:<none> != call_agent:researcher; ...,9,0:call_agent:planner != call_agent:critic; 1:call_agent:researcher != retry; 2:call_agent:writer != call_agent:critic; 3:call_agent:writer != call_agent:researcher; 4:retry != call_agent:critic; 5:call_agent:writer != retry; 6:finalize != call_agent:critic; 7:<none> != call_agent:writer; ...,True,5,6,1,2,0,0,0.0,0.0,0.0,0.0,1.094,1.312,0.2188,0.218667
25,research_report,ee406a1d-1569-4b9c-a991-2cbaa339cb53,9ce736e7-5928-4c5b-af38-937d9cfeeeb6,experiments\stabilization_sprint_20260508\traces\mas_no_memory\ee406a1d-1569-4b9c-a991-2cbaa339cb53.jsonl,experiments\stabilization_sprint_20260508\traces\mas_orchestrator_memory\9ce736e7-5928-4c5b-af38-937d9cfeeeb6.jsonl,planner|planner|researcher|writer|writer|writer,planner|planner|researcher|writer|writer|writer,0,0,,,,,0,0,0,0,0,0,0,0,call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|finalize,call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|finalize,call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|finalize,call_agent:planner|retry|call_agent:planner|call_agent:researcher|call_agent:writer|call_agent:writer|retry|call_agent:writer|finalize,0,,0,,False,6,6,2,2,0,0,0.0,0.0,0.0,0.0,1.224,1.206,0.204,0.201
